Total_Pemasukan_Belum,Total_Pengeluaran_Belum,Total_Anggaran_Belum,Total_Tabungan_Belum,Status_Kesehatan_Finansial,Total_Pemasukan,Total_Pengeluaran,Total_Anggaran,Total_Tabungan
18092262,9239792,9524671,3154680,Perlu Perhatian,18100000,9200000,9500000,3200000
16220144,13505168,13088538,1879687,Berisiko,16200000,13500000,13100000,1900000
9784520,11362368,9385663,1681666,Berisiko,9800000,11400000,9400000,1700000
10433461,3812406,3786347,2717467,Sehat,10400000,3800000,3800000,2700000
13674884,9715681,8237537,2286499,Perlu Perhatian,13700000,9700000,8200000,2300000
8635529,4541260,4660190,1218884,Perlu Perhatian,8600000,4500000,4700000,1200000
8597983,6582876,6497329,1130652,Perlu Perhatian,8600000,6600000,6500000,1100000
8551239,4621971,4870511,1086334,Perlu Perhatian,8600000,4600000,4900000,1100000
14371943,3204379,3252105,4241946,Sehat,14400000,3200000,3300000,4200000
14815451,7047801,5345803,5917040,Sehat,14800000,7000000,5300000,5900000
14627372,14565594,11016359,1712403,Berisiko,14600000,14600000,11000000,1700000
12588330,10441760,9064614,1824100,Berisiko,12600000,10400000,9100000,1800000
11174624,7311808,7337075,2949160,Perlu Perhatian,11200000,7300000,7300000,2900000
11446415,9809298,9854546,1875954,Berisiko,11400000,9800000,9900000,1900000
16812185,19602006,16996927,1386615,Berisiko,16800000,19600000,17000000,1400000
6064147,1448348,1348326,665185,Sehat,6100000,1400000,1300000,700000
14994906,6275378,6628337,3655731,Sehat,15000000,6300000,6600000,3700000
5640397,4157683,4435028,1358033,Perlu Perhatian,5600000,4200000,4400000,1400000
4477671,2421281,2321162,714164,Perlu Perhatian,4500000,2400000,2300000,700000
18225128,15726715,12066190,1486866,Berisiko,18200000,15700000,12100000,1500000
8832396,2214192,2291078,1074488,Sehat,8800000,2200000,2300000,1100000
17459814,13911104,13848744,3557326,Perlu Perhatian,17500000,13900000,13800000,3600000
13767532,9137562,9043337,751753,Perlu Perhatian,13800000,9100000,9000000,800000
11859573,12359840,8707453,2032642,Berisiko,11900000,12400000,8700000,2000000
16996209,4488955,4578022,3292105,Sehat,17000000,4500000,4600000,3300000
8636409,7784493,6303115,963451,Berisiko,8600000,7800000,6300000,1000000
17345961,19480752,15510900,1002296,Berisiko,17300000,19500000,15500000,1000000
11152710,4986506,3553352,3750801,Sehat,11200000,5000000,3600000,3800000
7854280,1749646,1750969,1819079,Sehat,7900000,1700000,1800000,1800000
4475736,4261245,3650913,656540,Berisiko,4500000,4300000,3700000,700000
15622533,16801002,17982457,78781,Berisiko,15600000,16800000,18000000,100000
14128013,12828855,12896817,2108185,Berisiko,14100000,12800000,12900000,2100000
17830562,17866618,13251154,1372022,Berisiko,17800000,17900000,13300000,1400000
5774736,2421771,1751254,1517933,Sehat,5800000,2400000,1800000,1500000
18278300,9562672,10342253,5144633,Perlu Perhatian,18300000,9600000,10300000,5100000
13440363,5466918,5510714,4448355,Sehat,13400000,5500000,5500000,4400000
18231853,5906471,5107305,3688701,Sehat,18200000,5900000,5100000,3700000
8399249,3524926,3416349,1833402,Sehat,8400000,3500000,3400000,1800000
5900691,4388607,3918688,1013933,Perlu Perhatian,5900000,4400000,3900000,1000000
4970913,5274902,4396781,305004,Berisiko,5000000,5300000,4400000,300000
10460603,9442846,7307323,1571719,Berisiko,10500000,9400000,7300000,1600000
10930515,5288242,3860605,3193980,Sehat,10900000,5300000,3900000,3200000
10178293,4611190,4951222,2115453,Sehat,10200000,4600000,5000000,2100000
17252121,7787290,8290595,4866147,Sehat,17300000,7800000,8300000,4900000
15690621,11676199,10219962,2856020,Perlu Perhatian,15700000,11700000,10200000,2900000
10519580,8942506,8441752,1810242,Berisiko,10500000,8900000,8400000,1800000
15020316,5360206,5371387,2330627,Sehat,15000000,5400000,5400000,2300000
8368976,9523918,8005862,1473802,Berisiko,8400000,9500000,8000000,1500000
3135343,2497643,2524950,340658,Perlu Perhatian,3100000,2500000,2500000,300000
9855283,9174430,9908332,1164335,Berisiko,9900000,9200000,9900000,1200000
6356260,2127902,2291163,859085,Sehat,6400000,2100000,2300000,900000
5156035,5599652,5400160,561835,Berisiko,5200000,5600000,5400000,600000
6350982,1280613,1352482,1332724,Sehat,6400000,1300000,1400000,1300000
10491451,6846050,5708785,683835,Perlu Perhatian,10500000,6800000,5700000,700000
9044913,7213271,7929252,1861933,Perlu Perhatian,9000000,7200000,7900000,1900000
6362064,4205069,4206076,1235694,Perlu Perhatian,6400000,4200000,4200000,1200000
18405209,19052020,15799341,1022633,Berisiko,18400000,19100000,15800000,1000000
13659100,3992065,4012672,3732018,Sehat,13700000,4000000,4000000,3700000
18026438,7454987,7520130,4188348,Sehat,18000000,7500000,7500000,4200000
5757165,5867799,5479486,107632,Berisiko,5800000,5900000,5500000,100000
11889782,7825803,8552133,2004862,Perlu Perhatian,11900000,7800000,8600000,2000000
8623931,2097476,1485144,2980143,Sehat,8600000,2100000,1500000,3000000
18109080,13413167,10164828,1345437,Perlu Perhatian,18100000,13400000,10200000,1300000
6981389,2111985,1505589,1203243,Sehat,7000000,2100000,1500000,1200000
17553988,20181868,21797235,85759,Berisiko,17600000,20200000,21800000,100000
15603135,6949997,7424652,5366535,Sehat,15600000,6900000,7400000,5400000
19515006,16231959,16676730,1545707,Berisiko,19500000,16200000,16700000,1500000
7323771,8379952,6326709,1000824,Berisiko,7300000,8400000,6300000,1000000
15971272,7557909,6434985,5005073,Sehat,16000000,7600000,6400000,5000000
13387508,11793409,11063570,745894,Berisiko,13400000,11800000,11100000,700000
3966709,2122270,2027380,690221,Perlu Perhatian,4000000,2100000,2000000,700000
12977783,4654783,4356434,3920931,Sehat,13000000,4700000,4400000,3900000
5232953,3261214,2827294,886175,Perlu Perhatian,5200000,3300000,2800000,900000
13620944,8849538,8594500,2566641,Perlu Perhatian,13600000,8800000,8600000,2600000
6169259,2336632,2542507,1111607,Sehat,6200000,2300000,2500000,1100000
17432798,4708867,4361534,2192022,Sehat,17400000,4700000,4400000,2200000
12762832,6832955,4836859,1926160,Perlu Perhatian,12800000,6800000,4800000,1900000
18969901,6978500,7091070,5144806,Sehat,19000000,7000000,7100000,5100000
4372580,5224823,4696835,672798,Berisiko,4400000,5200000,4700000,700000
12815767,7497113,5775300,1766237,Perlu Perhatian,12800000,7500000,5800000,1800000
7451378,7443314,7990000,1200793,Berisiko,7500000,7400000,8000000,1200000
17635109,15317870,11479861,2376329,Berisiko,17600000,15300000,11500000,2400000
13072226,15381054,13443687,795081,Berisiko,13100000,15400000,13400000,800000
12901877,5616910,5012999,4639482,Sehat,12900000,5600000,5000000,4600000
17872404,9601848,8095585,4420603,Perlu Perhatian,17900000,9600000,8100000,4400000
7062643,6394154,6018910,1235338,Berisiko,7100000,6400000,6000000,1200000
14085725,8615958,8081764,2341164,Perlu Perhatian,14100000,8600000,8100000,2300000
4867600,5349440,4131100,94301,Berisiko,4900000,5300000,4100000,100000
14822648,16996591,16658445,2474300,Berisiko,14800000,17000000,16700000,2500000
13706913,6707884,5895280,1485869,Sehat,13700000,6700000,5900000,1500000
7454770,2744600,2161942,1987348,Sehat,7500000,2700000,2200000,2000000
19312168,4045467,3271946,4540895,Sehat,19300000,4000000,3300000,4500000
10606800,7656081,6125671,2206381,Perlu Perhatian,10600000,7700000,6100000,2200000
15461462,15616978,15573922,1088406,Berisiko,15500000,15600000,15600000,1100000
12615956,13249610,12042405,269272,Berisiko,12600000,13200000,12000000,300000
11026820,10898505,9668474,493214,Berisiko,11000000,10900000,9700000,500000
14222322,11340089,9233322,916887,Perlu Perhatian,14200000,11300000,9200000,900000
13357995,14072928,10137503,1401453,Berisiko,13400000,14100000,10100000,1400000
10312417,4993311,3540514,3762832,Sehat,10300000,5000000,3500000,3800000
18446619,20289597,15047940,1676999,Berisiko,18400000,20300000,15000000,1700000
16442727,9659095,9456543,2360164,Perlu Perhatian,16400000,9700000,9500000,2400000
6776898,1944408,1391251,1510003,Sehat,6800000,1900000,1400000,1500000
17763419,17988237,15956936,2846739,Berisiko,17800000,18000000,16000000,2800000
8522999,6164556,6431259,1624299,Perlu Perhatian,8500000,6200000,6400000,1600000
14460641,13202122,12490516,1872832,Berisiko,14500000,13200000,12500000,1900000
10122417,10496426,8887444,1159921,Berisiko,10100000,10500000,8900000,1200000
4006574,1507098,1394423,718918,Sehat,4000000,1500000,1400000,700000
16606817,11946420,10771632,3211296,Perlu Perhatian,16600000,11900000,10800000,3200000
7135124,1737146,1296731,2220523,Sehat,7100000,1700000,1300000,2200000
5688905,3159502,3033031,1064743,Perlu Perhatian,5700000,3200000,3000000,1100000
11284641,2922049,2743279,2712537,Sehat,11300000,2900000,2700000,2700000
10780108,8544543,8456638,2066438,Perlu Perhatian,10800000,8500000,8500000,2100000
11080267,4866821,4163925,2120852,Sehat,11100000,4900000,4200000,2100000
11310332,9966153,8136449,1642323,Berisiko,11300000,10000000,8100000,1600000
9476650,6666557,6551751,1022832,Perlu Perhatian,9500000,6700000,6600000,1000000
8200415,3826914,3288032,1725418,Sehat,8200000,3800000,3300000,1700000
18517411,13761582,12807852,3300842,Perlu Perhatian,18500000,13800000,12800000,3300000
3089481,1599092,1471128,253202,Perlu Perhatian,3100000,1600000,1500000,300000
10094372,10499327,8149132,1246057,Berisiko,10100000,10500000,8100000,1200000
15268778,3701475,3186507,5618999,Sehat,15300000,3700000,3200000,5600000
9612480,8293466,7734294,616614,Berisiko,9600000,8300000,7700000,600000
19777271,7903710,5835609,4379719,Sehat,19800000,7900000,5800000,4400000
3636783,2412485,2007250,917445,Perlu Perhatian,3600000,2400000,2000000,900000
9958838,4289503,3578209,1593900,Sehat,10000000,4300000,3600000,1600000
16578907,10494828,10166876,3328358,Perlu Perhatian,16600000,10500000,10200000,3300000
6594041,6079626,4360383,1078746,Berisiko,6600000,6100000,4400000,1100000
7342881,4784893,5088133,545893,Perlu Perhatian,7300000,4800000,5100000,500000
17935657,15798760,13161197,3326395,Berisiko,17900000,15800000,13200000,3300000
17428369,11926389,8578794,3913446,Perlu Perhatian,17400000,11900000,8600000,3900000
14310273,7230122,7723009,3158401,Perlu Perhatian,14300000,7200000,7700000,3200000
11683621,3744362,3430575,4454112,Sehat,11700000,3700000,3400000,4500000
15389826,15558131,13093512,2589883,Berisiko,15400000,15600000,13100000,2600000
12283524,9463125,8060891,1794077,Perlu Perhatian,12300000,9500000,8100000,1800000
9271545,10793418,11322624,139719,Berisiko,9300000,10800000,11300000,100000
19097997,8028531,8544636,6617966,Sehat,19100000,8000000,8500000,6600000
19414725,6770609,4940184,4482586,Sehat,19400000,6800000,4900000,4500000
4866135,2794991,2943200,668565,Perlu Perhatian,4900000,2800000,2900000,700000
13380317,12255854,9734931,1807302,Berisiko,13400000,12300000,9700000,1800000
14479932,13995085,11950788,823760,Berisiko,14500000,14000000,12000000,800000
11770826,2990621,2974420,3029714,Sehat,11800000,3000000,3000000,3000000
6165143,5480339,4354392,113450,Berisiko,6200000,5500000,4400000,100000
15113662,4779170,4993409,2896522,Sehat,15100000,4800000,5000000,2900000
10216890,11236752,9715419,1288876,Berisiko,10200000,11200000,9700000,1300000
17837329,12614557,10620884,1060585,Perlu Perhatian,17800000,12600000,10600000,1100000
3588166,962993,1044083,622961,Sehat,3600000,1000000,1000000,600000
5959862,4718725,4060155,1514691,Perlu Perhatian,6000000,4700000,4100000,1500000
6336419,3997575,2989513,1488711,Perlu Perhatian,6300000,4000000,3000000,1500000
4153487,1117892,961002,937429,Sehat,4200000,1100000,1000000,900000
18130393,15463694,16054227,618939,Berisiko,18100000,15500000,16100000,600000
18507530,3885817,2980966,5811701,Sehat,18500000,3900000,3000000,5800000
12051896,13437879,12675342,2094835,Berisiko,12100000,13400000,12700000,2100000
15423950,8420817,6682008,3408099,Perlu Perhatian,15400000,8400000,6700000,3400000
7112386,4088218,3277652,367332,Perlu Perhatian,7100000,4100000,3300000,400000
15860840,12089401,13255181,1882071,Perlu Perhatian,15900000,12100000,13300000,1900000
12055466,10907640,8159238,1296117,Berisiko,12100000,10900000,8200000,1300000
15733929,4570123,3551813,2357436,Sehat,15700000,4600000,3600000,2400000
8316701,4949374,4744630,1956907,Perlu Perhatian,8300000,4900000,4700000,2000000
12760923,2839015,3027783,4162509,Sehat,12800000,2800000,3000000,4200000
11839055,11999290,11822836,127565,Berisiko,11800000,12000000,11800000,100000
10586545,8676262,6365851,1828766,Berisiko,10600000,8700000,6400000,1800000
15653619,5798706,4204200,2188108,Sehat,15700000,5800000,4200000,2200000
12977562,7911446,6688377,3113409,Perlu Perhatian,13000000,7900000,6700000,3100000
11097115,4441739,3781797,2871076,Sehat,11100000,4400000,3800000,2900000
18105680,6273897,5351274,2886658,Sehat,18100000,6300000,5400000,2900000
17546765,17304948,17801969,270032,Berisiko,17500000,17300000,17800000,300000
7616916,3978471,2947853,1798106,Perlu Perhatian,7600000,4000000,2900000,1800000
11532376,4848944,4741971,2414377,Sehat,11500000,4800000,4700000,2400000
10671292,10845167,10153806,396394,Berisiko,10700000,10800000,10200000,400000
9920778,3243294,2881222,3372460,Sehat,9900000,3200000,2900000,3400000
7618152,4569721,3264832,1467142,Perlu Perhatian,7600000,4600000,3300000,1500000
16508940,3881401,3212498,6322277,Sehat,16500000,3900000,3200000,6300000
12627376,7573719,5491333,1412790,Perlu Perhatian,12600000,7600000,5500000,1400000
14903253,4994962,4081236,5633562,Sehat,14900000,5000000,4100000,5600000
9286531,9789770,9200493,1752588,Berisiko,9300000,9800000,9200000,1800000
6723668,2491359,2491525,871162,Sehat,6700000,2500000,2500000,900000
18490039,16223700,12011802,1808971,Berisiko,18500000,16200000,12000000,1800000
11509972,4685939,3644561,2112552,Sehat,11500000,4700000,3600000,2100000
5576684,3440383,3134160,1672909,Perlu Perhatian,5600000,3400000,3100000,1700000
17989860,6130177,6591660,4474617,Sehat,18000000,6100000,6600000,4500000
19552884,21514582,17205754,842437,Berisiko,19600000,21500000,17200000,800000
18421975,19965677,19599003,2429488,Berisiko,18400000,20000000,19600000,2400000
19374258,5412400,4107766,5440356,Sehat,19400000,5400000,4100000,5400000
10758547,12092816,12757303,248226,Berisiko,10800000,12100000,12800000,200000
16956687,17643759,18419296,809332,Berisiko,17000000,17600000,18400000,800000
8001928,9495820,6959377,983384,Berisiko,8000000,9500000,7000000,1000000
6788714,3661946,3091303,704393,Perlu Perhatian,6800000,3700000,3100000,700000
9983136,2711618,2306002,3430472,Sehat,10000000,2700000,2300000,3400000
3632249,3379748,2576349,465850,Berisiko,3600000,3400000,2600000,500000
9415654,7175212,6697440,2213227,Perlu Perhatian,9400000,7200000,6700000,2200000
7417452,3117198,2936479,1116332,Sehat,7400000,3100000,2900000,1100000
10529124,11828068,10369314,73819,Berisiko,10500000,11800000,10400000,100000
11023477,2528126,2228246,1196241,Sehat,11000000,2500000,2200000,1200000
6302695,7351082,5382741,104530,Berisiko,6300000,7400000,5400000,100000
17556967,7176367,5712842,1777959,Sehat,17600000,7200000,5700000,1800000
19958220,12062708,9208149,2541735,Perlu Perhatian,20000000,12100000,9200000,2500000
15155498,13796441,9684011,2206718,Berisiko,15200000,13800000,9700000,2200000
12331316,10456514,10166421,2348899,Berisiko,12300000,10500000,10200000,2300000
8565517,9164202,9258107,678781,Berisiko,8600000,9200000,9300000,700000
8539082,3082658,2834420,3137703,Sehat,8500000,3100000,2800000,3100000
11465011,10763676,11433643,819416,Berisiko,11500000,10800000,11400000,800000
8654629,10138006,8933034,831549,Berisiko,8700000,10100000,8900000,800000
9978570,3268137,3307494,2867899,Sehat,10000000,3300000,3300000,2900000
12418214,5392625,5440576,2028485,Sehat,12400000,5400000,5400000,2000000
11611726,5189638,4159040,2286855,Sehat,11600000,5200000,4200000,2300000
7300773,2912928,3166802,2411187,Sehat,7300000,2900000,3200000,2400000
18458784,10478083,10016690,1512340,Perlu Perhatian,18500000,10500000,10000000,1500000
11364072,6088871,5505027,2957509,Perlu Perhatian,11400000,6100000,5500000,3000000
5805887,1426997,1454207,1582837,Sehat,5800000,1400000,1500000,1600000
17139964,7697506,8262082,5710800,Sehat,17100000,7700000,8300000,5700000
6396858,2510844,2104636,807778,Sehat,6400000,2500000,2100000,800000
10695814,4546275,4126016,1346521,Sehat,10700000,4500000,4100000,1300000
19766439,12692781,12814049,4921015,Perlu Perhatian,19800000,12700000,12800000,4900000
14478369,9986577,8598422,1795413,Perlu Perhatian,14500000,10000000,8600000,1800000
16145701,6767416,7124320,5921736,Sehat,16100000,6800000,7100000,5900000
13421625,9163356,6800341,1246479,Perlu Perhatian,13400000,9200000,6800000,1200000
13262961,5538216,4826538,3007935,Sehat,13300000,5500000,4800000,3000000
15820569,13633865,10943340,1302251,Berisiko,15800000,13600000,10900000,1300000
16736611,12476319,9112114,4918043,Perlu Perhatian,16700000,12500000,9100000,4900000
6575689,4305952,4684124,498478,Perlu Perhatian,6600000,4300000,4700000,500000
11110003,11877066,9136634,1494349,Berisiko,11100000,11900000,9100000,1500000
5162689,1927725,1425531,1714673,Sehat,5200000,1900000,1400000,1700000
3170120,1541652,1526442,836273,Sehat,3200000,1500000,1500000,800000
9303413,6888186,7184090,1434879,Perlu Perhatian,9300000,6900000,7200000,1400000
19392567,8209714,8686261,5009855,Sehat,19400000,8200000,8700000,5000000
15697118,5613006,5288246,4531086,Sehat,15700000,5600000,5300000,4500000
9773728,7466733,6722684,2300838,Perlu Perhatian,9800000,7500000,6700000,2300000
7248152,1851686,2007764,1885207,Sehat,7200000,1900000,2000000,1900000
7986414,2182982,1969353,2110789,Sehat,8000000,2200000,2000000,2100000
8356270,9089878,9004090,1088694,Berisiko,8400000,9100000,9000000,1100000
5190002,5775310,4675177,831316,Berisiko,5200000,5800000,4700000,800000
19525501,13423452,12474813,5235069,Perlu Perhatian,19500000,13400000,12500000,5200000
11967366,8934483,8092442,2488488,Perlu Perhatian,12000000,8900000,8100000,2500000
5900333,5702563,4772191,118141,Berisiko,5900000,5700000,4800000,100000
14692877,8660980,8987490,3051626,Perlu Perhatian,14700000,8700000,9000000,3100000
5782308,3318469,2782196,1212402,Perlu Perhatian,5800000,3300000,2800000,1200000
17892899,6019100,5971581,1848301,Sehat,17900000,6000000,6000000,1800000
6149526,6551300,5173507,1024979,Berisiko,6100000,6600000,5200000,1000000
5850268,5255789,3897085,249701,Berisiko,5900000,5300000,3900000,200000
5990251,2391662,2104760,1800115,Sehat,6000000,2400000,2100000,1800000
11228504,5392490,5498412,2268149,Sehat,11200000,5400000,5500000,2300000
13112484,12537875,9557126,906269,Berisiko,13100000,12500000,9600000,900000
10979126,12758111,12670111,1802616,Berisiko,11000000,12800000,12700000,1800000
9825985,3621338,2609465,1956187,Sehat,9800000,3600000,2600000,2000000
9845942,4694086,3574338,1381703,Sehat,9800000,4700000,3600000,1400000
11891579,6507924,5999477,682183,Perlu Perhatian,11900000,6500000,6000000,700000
5241667,3815148,3109652,1188321,Perlu Perhatian,5200000,3800000,3100000,1200000
13132853,15077656,14207424,2220247,Berisiko,13100000,15100000,14200000,2200000
4902324,5560103,5579477,199488,Berisiko,4900000,5600000,5600000,200000
11250933,6739552,6000983,2399368,Perlu Perhatian,11300000,6700000,6000000,2400000
13045612,6347299,6668565,3688454,Sehat,13000000,6300000,6700000,3700000
16853693,19308227,18165581,26837,Berisiko,16900000,19300000,18200000,0
14170103,3398011,3509180,2138832,Sehat,14200000,3400000,3500000,2100000
16608835,11941416,12009486,1157335,Perlu Perhatian,16600000,11900000,12000000,1200000
15391364,5054242,4162988,4360539,Sehat,15400000,5100000,4200000,4400000
15134207,4229045,3430890,3991281,Sehat,15100000,4200000,3400000,4000000
6920896,5393541,5015672,1278821,Perlu Perhatian,6900000,5400000,5000000,1300000
17796659,8530762,8167354,7034109,Sehat,17800000,8500000,8200000,7000000
15656635,17062075,14003599,348510,Berisiko,15700000,17100000,14000000,300000
5479916,3088539,2890803,364165,Perlu Perhatian,5500000,3100000,2900000,400000
19584953,4841975,4639789,2478336,Sehat,19600000,4800000,4600000,2500000
10361575,8832775,6993844,2059644,Berisiko,10400000,8800000,7000000,2100000
14042143,4330162,3968311,4813041,Sehat,14000000,4300000,4000000,4800000
7733946,4994502,5195334,1258932,Perlu Perhatian,7700000,5000000,5200000,1300000
19370542,16596057,15854096,2551844,Berisiko,19400000,16600000,15900000,2600000
14155654,16779752,11782095,2537887,Berisiko,14200000,16800000,11800000,2500000
4305501,4183854,3888858,163059,Berisiko,4300000,4200000,3900000,200000
16216657,3769758,2880417,4737284,Sehat,16200000,3800000,2900000,4700000
17170465,6842339,5127333,5791800,Sehat,17200000,6800000,5100000,5800000
7719696,7546815,7647189,538980,Berisiko,7700000,7500000,7600000,500000
17603941,15255303,15363607,1441750,Berisiko,17600000,15300000,15400000,1400000
8179967,9596775,10395624,1154406,Berisiko,8200000,9600000,10400000,1200000
16610718,12509991,13047027,3510084,Perlu Perhatian,16600000,12500000,13000000,3500000
17674544,16407921,17569013,565464,Berisiko,17700000,16400000,17600000,600000
17584893,9502176,7505820,1115775,Perlu Perhatian,17600000,9500000,7500000,1100000
3399709,2482926,2123080,342754,Perlu Perhatian,3400000,2500000,2100000,300000
6491671,2392495,1846749,1759799,Sehat,6500000,2400000,1800000,1800000
3706649,2805113,2376051,505130,Perlu Perhatian,3700000,2800000,2400000,500000
13800941,2809177,2714823,4301861,Sehat,13800000,2800000,2700000,4300000
11628212,2429963,1999714,2936441,Sehat,11600000,2400000,2000000,2900000
12752688,14409990,14749297,1569077,Berisiko,12800000,14400000,14700000,1600000
6666560,5694708,5660505,73028,Berisiko,6700000,5700000,5700000,100000
16706638,19739021,21450993,2843370,Berisiko,16700000,19700000,21500000,2800000
6891325,5804889,5764615,856299,Berisiko,6900000,5800000,5800000,900000
3945137,2190252,1534695,484443,Perlu Perhatian,3900000,2200000,1500000,500000
11808849,13000406,12392546,2094086,Berisiko,11800000,13000000,12400000,2100000
7533073,5523613,4651246,743819,Perlu Perhatian,7500000,5500000,4700000,700000
16980241,17971040,14041304,2422529,Berisiko,17000000,18000000,14000000,2400000
6797906,7922510,5633215,1331518,Berisiko,6800000,7900000,5600000,1300000
11983374,6368518,4634425,732321,Perlu Perhatian,12000000,6400000,4600000,700000
14900436,8852527,8188137,3353717,Perlu Perhatian,14900000,8900000,8200000,3400000
14992672,11486545,10541712,2680397,Perlu Perhatian,15000000,11500000,10500000,2700000
15020029,8807101,9285695,2978010,Perlu Perhatian,15000000,8800000,9300000,3000000
16260266,11252895,9987302,4321062,Perlu Perhatian,16300000,11300000,10000000,4300000
15708716,12117687,8953678,1202698,Perlu Perhatian,15700000,12100000,9000000,1200000
19517692,3960813,4056297,6906193,Sehat,19500000,4000000,4100000,6900000
12087768,6908529,5732160,1408607,Perlu Perhatian,12100000,6900000,5700000,1400000
8964228,8880748,7497071,1117806,Berisiko,9000000,8900000,7500000,1100000
3448803,1949014,1563703,823353,Perlu Perhatian,3400000,1900000,1600000,800000
11374147,12188967,10450513,1055616,Berisiko,11400000,12200000,10500000,1100000
8023479,6984420,5495074,1413817,Berisiko,8000000,7000000,5500000,1400000
12384284,5384604,5056380,2448906,Sehat,12400000,5400000,5100000,2400000
9942670,2908365,2263998,3670851,Sehat,9900000,2900000,2300000,3700000
7893366,3249081,3223951,1933534,Sehat,7900000,3200000,3200000,1900000
3692170,1456665,1099660,926159,Sehat,3700000,1500000,1100000,900000
3977943,4740759,3711401,113328,Berisiko,4000000,4700000,3700000,100000
18495817,9544267,8104530,2455253,Perlu Perhatian,18500000,9500000,8100000,2500000
4214636,911440,721161,1583814,Sehat,4200000,900000,700000,1600000
14316348,5119124,5083739,5203950,Sehat,14300000,5100000,5100000,5200000
19455335,5258151,4383740,4520774,Sehat,19500000,5300000,4400000,4500000
3899071,2792302,2460594,316052,Perlu Perhatian,3900000,2800000,2500000,300000
6606792,1780510,1459462,1920476,Sehat,6600000,1800000,1500000,1900000
3687605,4086430,4309069,164957,Berisiko,3700000,4100000,4300000,200000
14285964,15131893,10618215,2433150,Berisiko,14300000,15100000,10600000,2400000
9087190,8390529,5892825,1123709,Berisiko,9100000,8400000,5900000,1100000
10375918,11346317,11361296,1149616,Berisiko,10400000,11300000,11400000,1100000
4958869,1937837,2089570,1929083,Sehat,5000000,1900000,2100000,1900000
10650111,2989667,2381533,1170266,Sehat,10700000,3000000,2400000,1200000
15257595,7000681,6397358,5705803,Sehat,15300000,7000000,6400000,5700000
8436478,5288009,5749645,1866642,Perlu Perhatian,8400000,5300000,5700000,1900000
14407597,7043563,7412161,4475455,Sehat,14400000,7000000,7400000,4500000
14828628,8482996,6530022,2966196,Perlu Perhatian,14800000,8500000,6500000,3000000
17449198,10204713,9536288,2512800,Perlu Perhatian,17400000,10200000,9500000,2500000
6187259,6520206,6088772,5548,Berisiko,6200000,6500000,6100000,0
3686305,3751472,3047126,691385,Berisiko,3700000,3800000,3000000,700000
11859351,3029721,2220823,4652057,Sehat,11900000,3000000,2200000,4700000
17887649,11827783,8936886,3489775,Perlu Perhatian,17900000,11800000,8900000,3500000
4866360,3209160,2939464,256963,Perlu Perhatian,4900000,3200000,2900000,300000
11399321,6302063,5809023,1595027,Perlu Perhatian,11400000,6300000,5800000,1600000
11509994,4425579,3912916,1165046,Sehat,11500000,4400000,3900000,1200000
5105130,2212798,1973288,634885,Sehat,5100000,2200000,2000000,600000
3043524,1413393,1430223,319138,Sehat,3000000,1400000,1400000,300000
13498007,9190331,8427785,3107938,Perlu Perhatian,13500000,9200000,8400000,3100000
3184027,1426741,1090622,847650,Sehat,3200000,1400000,1100000,800000
15042489,15107140,14372397,1145884,Berisiko,15000000,15100000,14400000,1100000
11859712,7454008,8015957,2455721,Perlu Perhatian,11900000,7500000,8000000,2500000
10131050,5495620,4051941,570969,Perlu Perhatian,10100000,5500000,4100000,600000
19086864,7688039,5803695,3101980,Sehat,19100000,7700000,5800000,3100000
7983284,5689760,4050544,500513,Perlu Perhatian,8000000,5700000,4100000,500000
17553390,15594833,14560128,2329184,Berisiko,17600000,15600000,14600000,2300000
12632684,7904136,8471779,2417863,Perlu Perhatian,12600000,7900000,8500000,2400000
7890488,3494467,3204478,1896163,Sehat,7900000,3500000,3200000,1900000
8542810,6404898,6858909,1257001,Perlu Perhatian,8500000,6400000,6900000,1300000
5286904,4161687,3608253,716947,Perlu Perhatian,5300000,4200000,3600000,700000
19803031,7054551,7182319,2816572,Sehat,19800000,7100000,7200000,2800000
4840728,2266171,2261775,1601092,Sehat,4800000,2300000,2300000,1600000
12267260,7468588,8031200,3469137,Perlu Perhatian,12300000,7500000,8000000,3500000
5560245,3939385,4314182,393406,Perlu Perhatian,5600000,3900000,4300000,400000
14119499,16347863,14807387,1540200,Berisiko,14100000,16300000,14800000,1500000
5135490,2879090,2292803,705222,Perlu Perhatian,5100000,2900000,2300000,700000
8886067,5557781,5246945,1350787,Perlu Perhatian,8900000,5600000,5200000,1400000
3474224,3280858,2392487,391662,Berisiko,3500000,3300000,2400000,400000
18149366,16121284,13278648,3014147,Berisiko,18100000,16100000,13300000,3000000
15276253,15465265,12487791,515822,Berisiko,15300000,15500000,12500000,500000
7314199,1940665,1638563,2212243,Sehat,7300000,1900000,1600000,2200000
4581790,3324216,3632454,1212270,Perlu Perhatian,4600000,3300000,3600000,1200000
16517491,11008947,10341311,4465598,Perlu Perhatian,16500000,11000000,10300000,4500000
7969409,6798402,5486547,68604,Berisiko,8000000,6800000,5500000,100000
16849598,6170204,6150571,2006163,Sehat,16800000,6200000,6200000,2000000
11168447,3030266,3104852,1340749,Sehat,11200000,3000000,3100000,1300000
15561608,16999369,13596876,459014,Berisiko,15600000,17000000,13600000,500000
17724642,19862876,15227130,476325,Berisiko,17700000,19900000,15200000,500000
9819174,2259580,1875252,3678770,Sehat,9800000,2300000,1900000,3700000
